Round,Table,Players,Decks,Winner
Round 1,1,"Yohei Nomiya He/Him
SHOGO KONDO","Izzet Spellementals
Izzet Prowess",Yohei Nomiya won 2-1-0
Round 1,2,"Jeongwoo Cho He/Him
IchiwakiFumihiro","Izzet Prowess
Jeskai Control",Jeongwoo Cho won 2-1-0
Round 1,3,"Mikita Hisano
Toshiki Okai","Boros
Izzet Prowess",Mikita Hisano won 2-1-0
Round 1,4,"Ma Noah
trexdog001","Selesnya Ouroboroid
Izzet Control",Ma Noah won 2-1-0
Round 1,5,"Satoshi Mizu
Jun Furukawa","Izzet Elementals
Izzet Aggro",Jun Furukawa won 2-1-0
Round 1,6,"Onoda Kenji He/Him
Kouhei Komiyama He/Him","Izzet Lessons
Azorius Flash",Kouhei Komiyama won 2-1-0
Round 1,7,"Yukinori Ishibashi
TaeHyoungKim He/Him","Selesnya Landfall
Selesnya Aggro",TaeHyoungKim won 2-1-0
Round 1,8,"whiteLeghorn He/Him
Takahiro Shiraki Other","Temur Tempo
Simic Aggro",whiteLeghorn won 2-1-0
Round 1,9,"maegawa
KENTA KATAGIRI","Selesnya Aggro
Selesnya Rhythm",maegawa won 2-1-0
Round 1,10,"Kenji Sego
satoshi kuroiwa","Izzet Spellementals
Temur Prowess",Kenji Sego won 2-0-0
Round 1,11,"Gaku Oohashi
Naoyuki Hashimoto He/Him","Selesnya Landfall
Dimir Excruciator",Gaku Oohashi won 2-1-0
Round 1,12,"Taishi_Tokairin
Hojun Yoon","Selesnya Landfall
Izzet Aggro",Hojun Yoon won 2-1-0
Round 1,13,"Ryosuke Okada He/Him
Tomoaki Ogasawara","Izzet Aggro
Selesnya Ouroboroid",Tomoaki Ogasawara won 2-1-0
Round 1,14,"Shunsuke Kimura He/Him
junpei nakamura","Sultai Control
Golgari Midrange",1-1-0 Draw
Round 1,15,"Hiroaki Kitahara
syuhei nakayama","Sultai Control
Izzet Prowess",Hiroaki Kitahara won 2-0-0
Round 1,16,"Ryutarou Machida
Haruka Ookura","Jeskai Control
Selesnya Landfall",Haruka Ookura won 2-0-0
Round 1,17,"rintaro honda
Seita Oono","Temur Aggro
Selesnya Rhythm",rintaro honda won 2-1-0
Round 1,18,"KazukiYada
Katsuki Fukumoto He/Him","Temur Prowess
Selesnya Landfall",KazukiYada won 2-0-0
Round 1,19,"Takumi Onodera
SAYAMA TATSUNOSUKE","Temur Prowess
Dimir Control",SAYAMA TATSUNOSUKE won 2-1-0
Round 1,20,"yoshiki yamashita He/Him
hirohata","Izzet Spellementals
Golgari Midrange",yoshiki yamashita won 2-0-0
Round 1,21,"Ryuji Murae
Tomonori Hirami","Izzet Aggro
Azorius Flash",Tomonori Hirami won 2-0-0
Round 1,22,"toya
RIKI KAMO He/Him","W-U-B-R Control
Mono-Green Landfall",RIKI KAMO won 2-1-0
Round 1,23,"Kim Hoyeon He/Him
sintarou yamada","Golgari Midrange
Izzet Prowess",Kim Hoyeon won 2-0-0
Round 1,24,"Kenichirise
Dod2gaia He/Him","Izzet Bounce
Jeskai Control",Kenichirise won 2-0-0
Round 1,25,"Atsushi Hozuki
shun asano He/Him","Selesnya Aggro
Sultai Control",Atsushi Hozuki won 2-1-0
Round 1,26,"takuya yamada He/Him
HYUNDEOK JANG He/Him","W-U-B-R Control
Boros Dragons",HYUNDEOK JANG won 2-1-0
Round 1,27,"Takumi Matsuura
Takumi Utsunomiya He/Him","Izzet Prowess
Izzet Spellementals",Takumi Utsunomiya won 2-0-0
Round 1,28,"Koki Nakamura
Atsushi Nakashima","Selesnya Landfall
Jeskai Control",Atsushi Nakashima won 2-0-0
Round 1,29,"yasutaka Nagao
Shimpo Kosuke","W-U-B-R Control
Izzet Prowess",Shimpo Kosuke won 2-0-0
Round 1,30,"TATSURO ASANO
Shota Takao","Izzet Prowess
Selesnya Landfall",TATSURO ASANO won 3-0-0
Round 1,31,"YOICHI NAGAMI
LiDuoyan","Abzan Control
Azorius Blink",LiDuoyan won 2-1-0
Round 1,32,"MASAO ODA He/Him
Masaki Oi","Mono-Green Landfall
Izzet Prowess",MASAO ODA won 2-1-0
Round 1,33,"Takamichi Asai
Masayasu","Temur Prowess
Izzet Elementals",Takamichi Asai won 2-0-0
Round 1,34,"TatsumasaTAKANO
Kosuke Shibazaki","Jeskai Midrange
Izzet Aggro",Kosuke Shibazaki won 2-0-0
Round 1,35,"Hiroto Ogata
Masakuni Hamaguchi","Izzet Control
Selesnya Landfall",Masakuni Hamaguchi won 2-1-0
Round 1,36,"yusuke matsubara
Shinya Saito He/Him","Izzet Lessons
Temur Prowess",Shinya Saito won 2-0-0
Round 1,37,"Yosuke Hieda He/They
yuki yamazaki","W-U-B-R Control
Boros Aggro",Yosuke Hieda won 2-1-0
Round 1,38,"grodri1999
naoya okamura He/Him","Bant Rhythm
Izzet Elementals",naoya okamura won 2-1-0
Round 1,39,"yasunori yajima He/Him
ERISON","Izzet Midrange
Mono-White Tokens",ERISON won 2-1-0
Round 1,40,"YsoHq They/Them
Toru Yanagisaka","Izzet Prowess
Dimir Combo",Toru Yanagisaka won 2-1-0
Round 1,41,"Taro Takahashi
Kenta Harane He/Him","Sultai Control
Izzet Otters",Taro Takahashi won 2-0-0
Round 1,42,"ホリエ トオル He/Him
Jun Takeuchi He/Him","Jeskai Control
Izzet Elementals",ホリエ トオル won 2-0-0
Round 1,43,"Yotaki
Takahiro Obara","Jeskai Elementals
Izzet Prowess",Takahiro Obara won 2-0-0
Round 1,44,"Hiroki Kageyama
koki hara He/Him","Izzet Otters
Bant Rhythm",Hiroki Kageyama won 2-0-0
Round 1,45,"Chikara Nakajima
Sho Yoshimori He/Him","Mono-Green Landfall
Selesnya Landfall",Sho Yoshimori won 2-1-0
Round 1,46,"Keita Tonouchi He/Him
LEESHITIAN","Selesnya Landfall
Dimir Excruciator",Keita Tonouchi won 2-1-0
Round 1,47,"Keisuke Sato
Kazuki Murata","Temur Prowess
Dimir Excruciator",Kazuki Murata won 2-0-0
Round 1,48,"Joel Hjortness
Yoshihiko Ikawa He/Him","W-U-B-R Control
Izzet Spellementals",Yoshihiko Ikawa won 2-0-0
Round 1,49,"Tetsuji Yamamoto
Yuki Wada","Golgari Midrange
Mono-Red Aggro",Tetsuji Yamamoto won 2-1-0
Round 1,50,"Hiroaki Taniguchi He/Him
Takahisa Oonishi","Golgari Midrange
Temur Combo",Hiroaki Taniguchi won 2-1-0
Round 1,51,"bbtaka
Yoshiyuki Ogyu","Selesnya Aggro
Dimir Excruciator",Yoshiyuki Ogyu won 2-1-0
Round 1,52,"GonTV He/Him
SHUNICHI NAKASHIMA","Dimir Excruciator
Selesnya Ouroboroid",GonTV won 2-0-0
Round 1,53,"XU BAOZHONG
TakuroIto","Jeskai Aggro
Selesnya Landfall",XU BAOZHONG won 2-0-0
Round 1,54,"Kotaro Takahashi
Hosokawa Kouta He/Him","Selesnya Landfall
Bant Rhythm",Hosokawa Kouta won 2-0-0
Round 1,55,"Shinnosuke Hando
Takehiro Fujimoto","Selesnya
Mono-Red Aggro",Shinnosuke Hando won 2-0-0
Round 1,56,"natsuki kitada
Kazuhito Nobuta","Sultai Control
Selesnya Landfall",Kazuhito Nobuta won 2-1-0
Round 1,57,"Yosuke Kasagawa
ryota takeuchi","Mono-Green Aggro
Boros Aggro",Yosuke Kasagawa won 2-0-0
Round 1,58,"Charles Namchaisiri
Shunsuke Nose He/Him","Izzet Spellementals
Izzet Monument",Shunsuke Nose won 2-1-0
Round 1,59,"Alexander von Stange
naoto yamane","Izzet Prowess
Selesnya Ouroboroid",naoto yamane won 2-0-0
Round 1,60,"Kenya Ishikawa He/Him
junichi takayama He/Him","Izzet Spellementals
Izzet Spellementals",Kenya Ishikawa won 2-1-0
Round 1,61,"DaichiKo
Yusuke Takaoka He/Him","Izzet Prowess
Izzet Aggro",Yusuke Takaoka won 2-0-0
Round 1,62,"Kenta Imai He/Him
Takato Ueno","Izzet Prowess
Temur Prowess",Takato Ueno won 2-1-0
Round 1,63,"Haruka Murano He/They
Toshiya Kanegawa","Dimir Excruciator
Selesnya Aggro",Toshiya Kanegawa won 2-0-0
Round 1,64,"Masahito Masuda
Masaki Ooura","Temur Prowess
Izzet Prowess",Masaki Ooura won 2-1-0
Round 1,65,"Taiki Kageyama
Kazuki Kawata He/Him","Temur Prowess
Jeskai Control",Kazuki Kawata won 2-0-0
Round 1,66,"EIJI SOGO
Naoki Higashida","Mono-Green Landfall
Izzet Prowess",Naoki Higashida won 2-0-0
Round 1,67,"Masaru Abe He/Him
TOMOKI EGEYAMA He/Him","Dimir Excruciator
Izzet Prowess",Masaru Abe won 2-1-0
Round 1,68,"RuiyuanLu
Minoru Sato","Dimir Midrange
Sultai Combo",Minoru Sato won 2-1-0
Round 1,69,"junsei yamaguchi He/Him
KatsumataTomoaki","Jeskai Control
Temur Prowess",KatsumataTomoaki won 2-0-0
Round 1,70,"Takashi Inui
Yunan Deng He/Him","Izzet Spellementals
Jeskai Artifacts",Takashi Inui won 2-1-0
Round 1,71,"Kazuhiro Nakamura
Kenichiro Omori He/Him","Izzet Lessons
Izzet Spellementals",Kenichiro Omori won 2-1-0
Round 1,72,"Kouta Mochizuki He/Him
Miyanishi Makoto He/Him","Temur Prowess
Izzet Prowess",Miyanishi Makoto won 2-1-0
Round 1,73,"Masanari Fukasawa He/Him
TimYip","Selesnya Landfall
Izzet",Masanari Fukasawa won 2-0-0
Round 1,74,"kouichi ishiwata
Masayoshi Yoshida","Bant Rhythm
Selesnya Landfall",Masayoshi Yoshida won 2-0-0
Round 1,75,"Masaaki Hitomi He/Him
Yuuki Fujii","Selesnya Aggro
Azorius Flash",Masaaki Hitomi won 2-0-0
Round 1,76,"Horiuchi Makoto
Keisuke Naitou","Temur Prowess
Temur Prowess",Keisuke Naitou won 2-1-0
Round 1,77,"Masashiro Kuroda He/Him
IngyunAhn He/Him","Izzet Spellementals
Izzet Prowess",Masashiro Kuroda won 2-0-0
Round 1,78,"Masahiko Noguchi
toru kono","Selesnya Landfall
Izzet Spellementals",Masahiko Noguchi won 2-1-0
Round 1,79,"HIDEYUKI ICHIKAWA
yuuji yoshida","Izzet Prowess
Temur Aggro",yuuji yoshida won 2-1-0
Round 1,80,"Hideaki Teruya
akira uemura He/Him","Izzet Tempo
Selesnya Landfall",akira uemura won 2-1-0
Round 1,81,"Kyle Hitachi He/Him
Koala40","Sultai Control
Dimir Demons",Kyle Hitachi won 2-1-0
Round 1,82,"Daichi Takemura Other
Ryota Ishikawa","Selesnya Ouroboroid
Selesnya Landfall",Ryota Ishikawa won 2-1-0
Round 1,83,"Takashi Tsunomori He/Him
syaka3845","Golgari Midrange
Temur Prowess",syaka3845 won 2-0-0
Round 1,84,"Akinori Hishida
shohei kiyota","Selesnya
Izzet Prowess",shohei kiyota won 2-0-0
Round 1,85,"HarryJPN He/Him
彰信 梶谷","Selesnya Landfall
Selesnya Landfall",1-1-0 Draw
Round 1,86,"Hasedaigo
Kaoru Yoshizawa","Izzet Aggro
Izzet Prowess",Kaoru Yoshizawa won 2-0-0
