Player,Deck,Rank
Keiichiro Matsumoto,W-U-B-R Control,1
ホリエ トオル,Jeskai Control,2
ReiSakano,Jeskai Control,3
Yoshihiko Ikawa,Izzet Spellementals,4
TASE YUYA,Azorius Aggro,5
MASAHIDE MORIYAMA,Izzet Spellementals,6
Tomonori Hirami,Azorius Flash,7
Ma Noah,Selesnya Ouroboroid,8
yoshiki yamashita,Izzet Spellementals,9
Shinya Saito,Temur Prowess,10
Takumi Utsunomiya,Izzet Spellementals,11
Toshiki Okai,Izzet Prowess,12
Koki Nakamura,Selesnya Landfall,13
YUSUKE NAKAMURA,Izzet Prowess,14
HarryJPN,Selesnya Landfall,15
junpei nakamura,Golgari Midrange,16
Rei Hirayama,Izzet Spellementals,17
Masataka Hori,Selesnya Ouroboroid,18
Tomohiro Matsumoto,Izzet Spellementals,19
Keisuke Naitou,Temur Prowess,20
Yusuke Takaoka,Izzet Aggro,21
Yoshitaka Fujino,Selesnya Aggro,22
Kenji Sego,Izzet Spellementals,23
Masashiro Kuroda,Izzet Spellementals,24
shohei kiyota,Izzet Prowess,25
Satoshi Mizu,Izzet Elementals,26
Hosokawa Kouta,Bant Rhythm,27
YUJI KAWABATA,Izzet Spellementals,28
Kenta Imai,Izzet Prowess,29
grodri1999,Bant Rhythm,30
TAKUYA HASEGAWA,Selesnya Landfall,31
TakahashiRyoma,Golgari Demons,32
Hojun Yoon,Izzet Aggro,33
Sotaro Wada,Izzet Prowess,34
Yoshiyuki Ogyu,Dimir Excruciator,35
Shimpo Kosuke,Izzet Prowess,36
Shingo Takada,Izzet Elementals,37
Yukinori Ishibashi,Selesnya Landfall,38
yamamotoatsushi,Mono-Green Landfall,39
Tomoya Kobayashi,Izzet Control,40
fukutome masayuki,Sultai Control,41
Hiroki Kageyama,Izzet Otters,42
naoto yamane,Selesnya Ouroboroid,43
Taishi_Tokairin,Selesnya Landfall,44
Takashi Inui,Izzet Spellementals,45
Masaki Oi,Izzet Prowess,46
Tomoya Tanaka,Izzet Prowess,47
Yuta Inukai,Selesnya Landfall,48
Charles Namchaisiri,Izzet Spellementals,49
Yuya Hosokawa,Jeskai Control,50
akira ishikawa,Selesnya Landfall,51
Keita Tonouchi,Selesnya Landfall,52
Keita Ito,Izzet Prowess,53
nakatatsuyoshi,Izzet Prowess,54
Keisuke Komatsu,Izzet Spellementals,55
Masahiko Noguchi,Selesnya Landfall,56
Hiroaki Kitahara,Sultai Control,57
Shinnosuke Hando,Selesnya,58
Hirotaka Kawasaki,Selesnya Ouroboroid,59
Kenya Ishikawa,Izzet Spellementals,60
John Im,Izzet,61
toru kono,Izzet Spellementals,62
Gaku Oohashi,Selesnya Landfall,63
Keisuke Sato,Temur Prowess,64
takuya taniguchi,Selesnya Landfall,65
taiyo ishii,Izzet,66
naoki kamizono,Temur Prowess,67
sho kamezaki,Mono-Green Landfall,68
Yuta Akamine,Izzet Spellementals,69
ryuichiro ishida,Selesnya Rhythm,70
SAYAMA TATSUNOSUKE,Dimir Control,71
Kazuhiro Noine,Selesnya Landfall,72
takahiro yamaguchi,Izzet Lessons,73
maegawa,Selesnya Aggro,74
Shogo Kajita,U-B-R-G Reanimator,75
Go Nakamura,Sultai Control,76
Sho Miyasaka,Izzet Prowess,77
LiDuoyan,Azorius Blink,78
Takaya Saito,Azorius Control,79
ryo kasuga,Selesnya Landfall,80
Masakuni Hamaguchi,Selesnya Landfall,81
syaka3845,Temur Prowess,82
shinichiro watanabe,Temur Prowess,83
Yuusuke Ooyama,Izzet Elementals,84
baronlee,Temur,85
KazukiYada,Temur Prowess,86
Sho Yoshimori,Selesnya Landfall,87
Yosuke Kasagawa,Mono-Green Aggro,88
Yuuki Fujii,Azorius Flash,89
Marei Okamura,Sultai Control,90
Haruka Murano,Dimir Excruciator,91
Takeshi Miyawaki,Dimir Excruciator,92
sintarou yamada,Izzet Prowess,93
ryuji mimido,Dimir Demons,94
RuiyuanLu,Dimir Midrange,95
Dod2gaia,Jeskai Control,96
IchiwakiFumihiro,Jeskai Control,97
藤垣 琢矢,Mono-Green Aggro,98
Atsushi Hozuki,Selesnya Aggro,99
yohei hoshino,Temur Prowess,100
taegyun lim,Grixis Midrange,101
JunSatoX1,Boros Tokens,102
Takato Ueno,Temur Prowess,103
kento shiraki,Selesnya Landfall,104
Hiroaki Taniguchi,Golgari Midrange,105
yusuke matsubara,Izzet Lessons,106
Masaaki Hitomi,Selesnya Aggro,107
Hiroki Yamagata,Izzet Prowess,108
Yutaro Morimoto,Selesnya Ouroboroid,109
Yu Tanaka,Golgari Control,110
Tamon,Dimir Excruciator,111
Miyanishi Makoto,Izzet Prowess,112
Daichi Takemura,Selesnya Ouroboroid,113
TomohiroSakai,Izzet Prowess,114
KatsumataTomoaki,Temur Prowess,115
Hiroki Toyota,Mono-Green Landfall,116
ERISON,Mono-White Tokens,117
Kim Hoyeon,Golgari Midrange,118
genki ogino,Izzet Aggro,119
Ryota Motegi,Mardu,120
Akira Yamawaki,Azorius Tempo,121
Ryutarou Machida,Jeskai Control,122
Hasedaigo,Izzet Aggro,123
Hideki Yoshioka,Azorius Flash,124
HIDEYUKI ICHIKAWA,Izzet Prowess,125
KOUSUKE  CHINEN,Izzet Spellementals,126
Kenichiro Omori,Izzet Spellementals,127
YsoHq,Izzet Prowess,128
Yuichiro Maruyama,Izzet Spellementals,129
Yosuke Shimizu,Dimir Deceit,130
whiteLeghorn,Temur Tempo,131
Masaki Ooura,Izzet Prowess,132
Shunsuke Nose,Izzet Monument,133
RIKI KAMO,Mono-Green Landfall,134
Masayoshi Yoshida,Selesnya Landfall,135
emotosatoshi,Temur Prowess,136
Akinori Hishida,Selesnya,137
hirofumi nakamatsu,Temur Aggro,138
